,id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,resVarA,resVarB,AGI,Description,Nitrate induced,Nitrate repressed,Present in ATH1?,,
1762,protein_coding_gene|-|AT1G23140,26.12497294,14.63885114,37.61109474,2.569265469,1.361355964,0.000171653,0.008915534,0.095870019,0.029871347,AT1G23140,Calcium-dependent lipid-binding (CaLB domain) family protein,1,0,1,,
1763,protein_coding_gene|+|AT1G23149,13.52611974,4.804246292,22.24799319,4.630901881,2.21129319,5.63E-06,0.000455773,0.137008897,0.384388764,AT1G23149,"CPuORF29, conserved peptide upstream open reading frame 29",1,0,0,,
1764,protein_coding_gene|+|AT1G23150,13.52611974,4.804246292,22.24799319,4.630901881,2.21129319,5.63E-06,0.000455773,0.137008897,0.384388764,AT1G23150,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G70780.1); Has 124 Blast hits to 124 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 124; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,0,,
1776,protein_coding_gene|-|AT1G23310,26.46322177,14.45796133,38.4684822,2.660712761,1.411812772,0.00013057,0.007053747,0.184052922,0.185055159,AT1G23310,"AOAT1, GGAT1, GGT1, glutamate:glyoxylate aminotransferase",1,0,1,,
1807,protein_coding_gene|+|AT1G23870,44.34191429,21.20391821,67.47991037,3.18242646,1.670127176,2.10E-07,2.34E-05,0.056277244,0.677761215,AT1G23870,"ATTPS9, TPS9, TPS9, trehalose-phosphatase/synthase 9",1,0,1,,
1833,protein_coding_gene|+|AT1G24280,261.3762486,19.34303706,503.4094601,26.02535779,4.701846092,2.12E-65,1.33E-61,0.101797248,0.381201213,AT1G24280,"G6PD3, glucose-6-phosphate dehydrogenase 3",1,0,1,,
1890,protein_coding_gene|+|AT1G25550,39.74978336,5.815516307,73.68405041,12.67025085,3.663373182,2.18E-21,1.05E-18,0.407637614,0.286876477,AT1G25550,myb-like transcription factor family protein,1,0,1,,
1963,protein_coding_gene|+|AT1G27030,52.28755598,71.74037663,32.83473533,0.45768836,-1.127562493,0.000538456,0.023391814,0.637630979,0.014161629,AT1G27030,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G27020.1); Has 504 Blast hits to 502 proteins in 169 species: Archae - 0; Bacteria - 299; Metazoa - 0; Fungi - 0; Plants - 67; Viruses - 0; Other Eukaryotes - 138 (source: NCBI BLink).,0,1,1,,
2100,protein_coding_gene|-|AT1G29050,84.31201544,120.2090726,48.41495831,0.402756275,-1.312021028,1.22E-05,0.000878223,2.241465214,0.247765199,AT1G29050,"TBL38, TRICHOME BIREFRINGENCE-LIKE 38",0,1,1,,
2186,protein_coding_gene|+|AT1G30260,9.050034159,2.60081645,15.49925187,5.959379358,2.575162088,3.41E-05,0.002198272,0.018095776,1.756636941,AT1G30260,BEST Arabidopsis thaliana protein match is: Galactosyltransferase family protein (TAIR:AT4G21060.1); Has 30 Blast hits to 30 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
2187,protein_coding_gene|+|AT1G30270,99.34338041,67.97339187,130.713369,1.923007891,0.943364683,0.000335645,0.015781157,0.27973075,0.012188602,AT1G30270,"ATCIPK23, CIPK23, LKS1, SnRK3.23, CBL-interacting protein kinase 23",1,0,1,,
2206,protein_coding_gene|-|AT1G30510,1162.538977,108.6983821,2216.379572,20.39017996,4.349802603,9.15E-67,8.63E-63,0.146550538,0.118662173,AT1G30510,"ATRFNR2, RFNR2, root FNR 2",1,0,1,,
2219,protein_coding_gene|+|AT1G30650,13.5350524,20.98742142,6.082683381,0.289825189,-1.786745108,0.000411279,0.018640051,0.093408291,0.619510511,AT1G30650,"AR411, ATWRKY14, WRKY14, WRKY DNA-binding protein 14",0,1,1,,
2232,protein_coding_gene|+|AT1G30840,42.94524436,24.86122713,61.02926158,2.454796831,1.295603626,3.42E-05,0.002198272,0.203425491,0.102293385,AT1G30840,"ATPUP4, PUP4, purine permease 4",1,0,1,,
2257,protein_coding_gene|-|AT1G31200,5.801928325,0.704328312,10.89952834,15.47506774,3.95187382,6.86E-06,0.000536654,0.598030365,0.04367399,AT1G31200,"ATPP2-A9, PP2-A9, phloem protein 2-A9",1,0,1,,
2259,protein_coding_gene|-|AT1G31230,29.15803043,17.19444514,41.12161572,2.391563984,1.25795439,0.000312542,0.014994055,0.004276337,0.070662756,AT1G31230,"AK-HSDH, AK-HSDH I, aspartate kinase-homoserine dehydrogenase i",1,0,1,,
2265,protein_coding_gene|+|AT1G31320,58.02354598,36.40181484,79.64527713,2.187947977,1.129578435,0.000177235,0.00915502,1.627563288,1.272487196,AT1G31320,"LBD4, LOB domain-containing protein 4",1,0,1,,
2288,protein_coding_gene|-|AT1G31770,64.94121897,32.30189686,97.58054108,3.020891978,1.594974596,8.07E-08,9.69E-06,1.486216656,3.23898783,AT1G31770,"ABCG14, ATP-binding cassette 14",1,0,1,,
2336,protein_coding_gene|+|AT1G32380,21.29717805,7.540730102,35.05362599,4.648571891,2.216787567,2.17E-07,2.40E-05,0.15550956,3.708034731,AT1G32380,"PRS2, phosphoribosyl pyrophosphate (PRPP) synthase 2",1,0,0,,
2365,protein_coding_gene|+|AT1G32920,25.11154784,8.516393132,41.70670255,4.897226079,2.291964799,3.25E-09,4.91E-07,2.176854215,0.118528623,AT1G32920,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to wounding; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G32928.1); Has 42 Blast hits to 42 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
2432,protein_coding_gene|-|AT1G34060,15.3350805,25.26822921,5.401931787,0.213783552,-2.225777237,3.33E-05,0.002166976,0.823623299,1.479427264,AT1G34060,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,0,1,0,,
2517,protein_coding_gene|+|AT1G37130,1058.731091,601.1514305,1516.310752,2.52234408,1.334765091,2.38E-08,3.14E-06,1.624473011,4.157536651,AT1G37130,"ATNR2, B29, CHL3, NIA2, NIA2-1, NR, NR2, nitrate reductase 2",1,0,1,,
2545,protein_coding_gene|-|AT1G43710,260.0619394,103.1378244,416.9860543,4.042998354,2.015425616,7.96E-18,3.00E-15,0.500183453,0.155084995,AT1G43710,"emb1075, Pyridoxal phosphate (PLP)-dependent transferases superfamily protein",1,0,1,,
2560,protein_coding_gene|+|AT1G44160,8.778978921,15.0814602,2.476497638,0.164208081,-2.606402969,0.000235213,0.011763147,0.485064431,0.245066061,AT1G44160,HSP40/DnaJ peptide-binding protein,0,1,1,,
2600,protein_coding_gene|-|AT1G45249,52.99372299,31.30985778,74.6775882,2.385114258,1.254058379,1.80E-05,0.001234114,0.60092494,0.046154199,AT1G45249,"ABF2, AREB1, ATAREB1, abscisic acid responsive elements-binding factor 2",1,0,0,,
2610,protein_coding_gene|-|AT1G47128,599.9669835,896.760041,303.173926,0.33807698,-1.564576312,1.15E-09,1.79E-07,0.60256109,0.00317393,AT1G47128,"RD21, RD21A, Granulin repeat cysteine protease family protein",0,1,1,,
2657,protein_coding_gene|+|AT1G47970,143.1521963,99.73547418,186.5689184,1.870637503,0.903530017,9.70E-05,0.005475142,0.196556688,4.558907317,AT1G47970,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 11 growth stages; Has 93717 Blast hits to 40765 proteins in 1891 species: Archae - 1046; Bacteria - 16276; Metazoa - 26677; Fungi - 16127; Plants - 6028; Viruses - 1519; Other Eukaryotes - 26044 (source: NCBI BLink).,1,0,1,,
2704,protein_coding_gene|+|AT1G48598,87.71206789,33.59411706,141.8300187,4.221870706,2.077882397,2.55E-14,6.59E-12,0.000534242,0.271753487,AT1G48598,"CPuORF31, conserved peptide upstream open reading frame 31",1,0,0,,
2705,protein_coding_gene|+|AT1G48600,87.71206789,33.59411706,141.8300187,4.221870706,2.077882397,2.55E-14,6.59E-12,0.000534242,0.271753487,AT1G48600,"AtPMEAMT, PMEAMT, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",1,0,0,,
2715,protein_coding_gene|+|AT1G48745,10.30814218,4.804246292,15.81203806,3.291262999,1.718641314,0.001311304,0.049054233,0.155845545,0.389072572,AT1G48745,unknown protein; Has 7 Blast hits to 7 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 7; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,0,,
2727,protein_coding_gene|+|AT1G48920,403.6459159,302.7415853,504.5502465,1.666603701,0.736911089,0.001220385,0.046577215,0.701645811,0.04774017,AT1G48920,"ATNUC-L1, NUC-L1, PARL1, nucleolin like 1",1,0,1,,
2732,protein_coding_gene|-|AT1G49000,14.82319402,5.996406119,23.64998193,3.944026049,1.97966908,3.35E-05,0.002173282,0.021031308,0.412799622,AT1G49000,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: stem; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G18560.1); Has 105 Blast hits to 105 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 105; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1,0,1,,
2739,protein_coding_gene|-|AT1G49160,12.0134152,0.704328312,23.32250208,33.11311173,5.049330686,9.31E-13,2.02E-10,0.300564619,4.2580867,AT1G49160,"WNK7, Protein kinase superfamily protein",1,0,1,,
2757,protein_coding_gene|+|AT1G49450,57.86254458,22.40569351,93.31939564,4.164985815,2.058311582,3.36E-12,7.11E-10,0.887126687,0.53537502,AT1G49450,Transducin/WD40 repeat-like superfamily protein,1,0,1,,
2788,protein_coding_gene|+|AT1G49860,536.684324,171.7510912,901.6175567,5.249559408,2.392196343,2.12E-25,1.43E-22,0.572178498,0.041039529,AT1G49860,"ATGSTF14, GSTF14, glutathione S-transferase (class phi) 14",1,0,1,,
2806,protein_coding_gene|-|AT1G50110,17.41006703,6.393792728,28.42634133,4.445927878,2.152484545,1.59E-06,0.000148657,0.080053091,0.918803986,AT1G50110,D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein,1,0,1,,
2904,protein_coding_gene|-|AT1G51680,170.82646,236.7127589,104.9401611,0.443322792,-1.173570559,1.05E-05,0.000770987,0.080659388,0.156673074,AT1G51680,"4CL.1, 4CL1, AT4CL1, 4-coumarate:CoA ligase 1",0,1,1,,
2933,protein_coding_gene|-|AT1G52120,19.9822524,29.37776266,10.58674215,0.360365841,-1.47246583,0.000906228,0.036199219,4.257796163,0.287414383,AT1G52120,Mannose-binding lectin superfamily protein,0,1,0,,
3037,protein_coding_gene|+|AT1G53540,63.11780366,37.17735712,89.05825021,2.395497074,1.260325051,5.45E-06,0.000444913,7.61839676,11.00846941,AT1G53540,HSP20-like chaperones superfamily protein,1,0,1,,
3148,protein_coding_gene|+|AT1G55120,62.78545044,29.8559787,95.71492217,3.205887944,1.680723999,4.84E-09,7.08E-07,0.65093358,0.004642553,AT1G55120,"AtcwINV3, ATFRUCT5, FRUCT5, beta-fructofuranosidase 5",1,0,1,,
3207,protein_coding_gene|-|AT1G55760,22.08997476,37.78447995,6.395469573,0.169261813,-2.562671571,6.68E-08,8.29E-06,0.041698052,0.02462421,AT1G55760,BTB/POZ domain-containing protein,0,1,1,,
3279,protein_coding_gene|-|AT1G56680,11.29715171,17.81794401,4.776359403,0.268064565,-1.899347573,0.000813578,0.033273739,1.371512605,0.730483822,AT1G56680,Chitinase family protein,0,1,1,,
3307,protein_coding_gene|-|AT1G58080,18.13480834,9.653715037,26.61590163,2.757063113,1.463132293,0.000376462,0.017311731,0.084268763,0.623026273,AT1G58080,"ATATP-PRT1, ATP-PRT1, HISN1A, ATP phosphoribosyl transferase 1",1,0,1,,
3334,protein_coding_gene|-|AT1G58410,19.26717721,9.482440693,29.05191372,3.063759074,1.615302852,7.89E-05,0.004605083,0.590788599,0.000938924,AT1G58410,Disease resistance protein (CC-NBS-LRR class) family,1,0,1,,
3364,protein_coding_gene|+|AT1G59860,21.6795868,12.47102828,30.88814532,2.476792179,1.308472821,0.000522925,0.022769595,1.059844395,3.873045059,AT1G59860,HSP20-like chaperones superfamily protein,1,0,0,,
3369,protein_coding_gene|-|AT1G59940,12.1711681,5.292077807,19.0502584,3.599769145,1.847904389,0.000132544,0.007119598,0.222007397,0.374119771,AT1G59940,"ARR3, response regulator 3",1,0,1,,
3370,protein_coding_gene|-|AT1G59960,46.7446625,23.6690673,69.82025769,2.949852514,1.560642825,6.69E-07,6.68E-05,0.409854169,0.351132818,AT1G59960,NAD(P)-linked oxidoreductase superfamily protein,1,0,1,,
3371,protein_coding_gene|+|AT1G59970,63.52932693,33.82022932,93.23842453,2.756883274,1.463038185,2.87E-07,3.09E-05,0.217821621,0.020881553,AT1G59970,Matrixin family protein,1,0,1,,
3376,protein_coding_gene|-|AT1G60050,3.782821617,0,7.565643233,Inf,Inf,9.82E-06,0.000731459,0,0.319090701,AT1G60050,Nodulin MtN21 /EamA-like transporter family protein,1,0,0,,
3394,protein_coding_gene|-|AT1G60440,6.424858373,12.1284796,0.721237149,0.059466411,-4.071781191,4.03E-05,0.002573332,0.93527718,0.336007158,AT1G60440,"ATCOAA, ATPANK1, PANK1, pantothenate kinase 1",0,1,1,,
3395,protein_coding_gene|-|AT1G60470,18.99489996,30.56030702,7.429492914,0.243109237,-2.040323386,2.99E-05,0.001956886,1.050511663,0.631785908,AT1G60470,"AtGolS4, GolS4, galactinol synthase 4",0,1,1,,
3411,protein_coding_gene|-|AT1G60710,134.6341141,77.93404861,191.3341796,2.455078146,1.295768947,1.90E-07,2.13E-05,0.322126967,0.051334458,AT1G60710,"ATB2, NAD(P)-linked oxidoreductase superfamily protein",1,0,1,,
3481,protein_coding_gene|-|AT1G61740,75.60018009,25.30383619,125.896524,4.975392784,2.314810424,9.14E-16,2.82E-13,0.033345172,0.113440408,AT1G61740,Sulfite exporter TauE/SafE family protein,1,0,1,,
3494,protein_coding_gene|-|AT1G61890,35.63961069,51.41206107,19.86716031,0.386429952,-1.371721172,0.000117805,0.006515359,0.36558924,0.473994362,AT1G61890,MATE efflux family protein,0,1,1,,
3513,protein_coding_gene|-|AT1G62180,116.9037889,40.21402205,193.5935558,4.814080908,2.267260389,3.50E-18,1.35E-15,0.135446225,0.034540861,AT1G62180,"APR2, APSR, ATAPR2, PRH, PRH43, 5'adenylylphosphosulfate reductase 2",1,0,1,,
3639,protein_coding_gene|+|AT1G63940,107.8119103,29.21324889,186.4105716,6.381028427,2.673788961,6.62E-22,3.47E-19,1.065027483,2.753042689,AT1G63940,"MDAR6, monodehydroascorbate reductase 6",1,0,1,,
3660,protein_coding_gene|-|AT1G64190,1225.387794,217.825852,2232.949737,10.25107771,3.357703685,5.95E-44,8.63E-41,0.087098853,0.470408865,AT1G64190,6-phosphogluconate dehydrogenase family protein,1,0,1,,
3682,protein_coding_gene|+|AT1G64500,37.52328273,22.71263521,52.33393025,2.304176938,1.204251506,0.000136845,0.00730902,0.919155532,0.422369222,AT1G64500,Glutaredoxin family protein,1,0,1,,
3690,protein_coding_gene|+|AT1G64590,88.87579477,166.4031247,11.34846485,0.068198628,-3.874113467,4.98E-25,2.94E-22,9.024849762,0.052184838,AT1G64590,NAD(P)-binding Rossmann-fold superfamily protein,0,1,1,,
3761,protein_coding_gene|-|AT1G65520,25.77273752,15.92145587,35.62401916,2.237485029,1.16187803,0.001006877,0.039631875,0.901739161,0.500148973,AT1G65520,"ATECI1, ECHIC, ECI1, PEC11, delta(3), delta(2)-enoyl CoA isomerase 1",1,0,1,,
3794,protein_coding_gene|-|AT1G66140,19.81597896,8.416332757,31.21562516,3.708934291,1.891004709,7.17E-06,0.000558558,0.861608559,0.082176801,AT1G66140,"ZFP4, zinc finger protein 4",1,0,1,,
3799,protein_coding_gene|-|AT1G66200,1503.172293,889.4225841,2116.922001,2.380108218,1.251027171,3.02E-07,3.20E-05,1.736815481,0.56422104,AT1G66200,"ATGSR2, GSR2, glutamine synthase clone F11",1,0,1,,
3805,protein_coding_gene|-|AT1G66280,107.0636929,145.4773018,68.65008403,0.4718955,-1.083460682,0.0001023,0.005757489,2.491535287,0.224860493,AT1G66280,"BGLU22, Glycosyl hydrolase superfamily protein",0,1,0,,
3859,protein_coding_gene|-|AT1G67110,20.62498025,8.768496913,32.48146359,3.704336548,1.889215177,1.05E-05,0.000770987,1.029567197,1.276692116,AT1G67110,"CYP735A2, cytochrome P450, family 735, subfamily A, polypeptide 2",1,0,1,,
3913,protein_coding_gene|-|AT1G67800,15.22185415,23.19085126,7.252857041,0.312746477,-1.67693446,0.000702123,0.029222581,0.022154439,0.151655715,AT1G67800,Copine (Calcium-dependent phospholipid-binding protein) family,0,1,1,,
3914,protein_coding_gene|+|AT1G67810,18.1568179,33.11590101,3.197734787,0.096561914,-3.372401917,1.84E-09,2.84E-07,0.654543573,0.010625076,AT1G67810,"SUFE2, sulfur E2",0,1,1,,
